,main_post,reply_post,fold,label
10,شرف لي أن أكون شاهدًا على استضافة دولتي لوجوه عربية مسالمة وشخصيات جاءت لترى عن قرب شعب إسرائيل ومن بين هذه الوجوه الصديق المهندس سعود صقر ابن دولة الإمارات ناشط ومحب للسلام الذي يشرفنا بزيارة لتوثيق العلاقات بين شعبينا موجهًا رسالة إلى الشعوب العربية قائلًا:تفضلوا بزيارة إسرائيل <link>,"<USER> اولا اسمها فلسطين ولا للتطبيع ده واحد خاين لا يمثل الا نفسه و ان شاء الله هنزور فلسطين وهي حرة بعد تطهيرها من خنازير الاحتلال الصهيوني ف والله إن نصر الله قريب
#FreePalestine 
#SaveSheikhJarrah 
#SaveSilwan",1,Neutral
11,رئيس هيئة الأركان العامة يقلد وحدة الكوماندو وأربعة من مقاتليها البحرية وسام تقدير وذلك في أعقاب سلسلة من المهمات العسكرية المميزة التي نفذت وابدى فيها المقاتلون التصميم، الإبداع، رباطة الجأش والابتكار. <link>,"<USER> أسأل الله العظيم رب العرش العظيم أن يشلكم ويمرضكم ويذلكم وأن يزلزل الأرض تحت أقدامكم وأن يجعل كيدكم في نحركم ويخفس بكم وبكل من يطبع ويتواطأ معكم.

""ويمكرون ويمكر الله والله خير الماكرين""

#انقذوا_حي_الشيخ_الجراح
#أنقذوا_حي_سلوان
#فلسطين
#المسجد_الأقصى
#لا_للتطبيع",4,Negative
12,المسيحي تهمَّش من ال ٩٠ لل ٢٠٠٥…بعدها بلَّش بإستعادة شراكة مسلوبة وحقوق مأكولة…اليوم المنطقة جايي على تسوية…البعض تعَوَّد إنّو التسويات تكون على حساب المسيحي…لكن هالمرة لأ…كرمال هيك في حدا جنّ جنونو ونزل شخصياً على الملعب…عمل فَوْل دستوري…وكشف عن حقيقة يلّي ضامرو من سنين…,"<USER> خلصونا منكم. 

أكبر تهميش لدور المسيحي هو في عهد ميشال عون وصهره القزم.",3,Negative
13,أخطر سلاح يواجه الأمة العربية هو جعلهم يفكرون فيعرفون فيكتشفون وهنا تكمن الخطورة … !,<USER> عني أنا فكرت فعرفت انو نهايتكم وزوالكم بالسنوات القريبة جداً واكتشفت انو فكرتي طلعت صحيحة 🤣😂😅😇🥸😎,1,Negative
14,قطر 🇶🇦 منذ سنة ١٩٩٥ وهي تدعم الإرهاب وتتآمر على الأنظمة العربية المعتدلة وتحالف الانظمة الإقليمية المتطرفة والمتشددة وتمول حماس الاٍرهابية وتدعم الاخوان يجب تجميد أموال قطر في الولايات المتحدة و أوروبا وبريطانيا,"<USER> إسرائيل تفكر بأمنها أولاً ولهذا فإنها لاتريد القضاء على حماس لأن أمنها مرتبط بشكل وثيق بوجود جماعة تضبط حركة الناس والسلاح حتى وإن كانت هذه الجماعة معادية لها فمائة سنة من حكم حماس أفضل لإسرائيل من سنة واحدة من الفوضى في غزة 
ولهذا تسمح إسرائيل بدخول الأموال الإيرانية والقطرية",4,Neutral
15,عاجل: الارض تنفتح وتبلع سيارات في موقف في العاصمة ولا ضحايا. <link>,<USER> (وما يعلم جنود ربك الا هو),4,Neutral
16,"ماذا بجري في الاردن؟؟

<link>",<USER> كل كارثة ورائها اليهود...,1,Neutral
17,سعودي يقترح ان أعتنق الاسلام! رايكم يا عرب يهمني جدا <link>,<USER> نعم انها نصيحه.  مجانيه. لكي تفوز برضوان الله,4,Neutral
18,حقد وحقد <link>,<USER> يا جاهل هذا مو كويتي !!! 🤮🤮🤮🤮بدليات من اول الفيديو لاخره ، و بعدين ما عندك شغله حتى المصافط داخل فيها ، الحمدلله ان ربي شاغلك فينا و مشتقي فينا في مراقبتنا و ما تخلي صح غلط جذب صج الا تنشره 👎🏼👎🏼👎🏼,0,Negative
19,"#عاجل أغارت طائرات حربية قبل قليل على موقع لانتاج وسائل قتالية تابع لمنظمة #حماس بالاضافة الى نقطة لاطلاق قذائف صاروخية. جاءت الغارات ردًا على مواصلة اطلاق #البالونات_الحارقة من قطاع غزة نحو اسرائيل. 
سيواصل جيش الدفاع الرد بقوة على الأعمال الإرهابية المنطلقة من القطاع <link>",<USER> قتل اطفال وشيوخ وكآن الدنيا خلقت لكم ولكن اذا فاض الكيل لاتنظر خلفك,0,Negative
20,"استمعوا جيدًا لما قاله رئيس هيئة الأركان الجنرال آفيف كوخافي بصورة واضحة وصارمة لكل أعداء إسرائيل: ليعلم كل من يحاول المس بدولة إسرائيل، كل عمل عدائي، من قريب أو بعيد، سيواجه بقوة، علنًا أو في الخفاء، هكذا تعاملنا في الماضي وهكذا سنتعامل مستقبلًا""، وذلك في حفل تخريج ضباط محاربين. <link>",<USER> اسرائيل دولة قوية ..تتصدا لكل الاعداء,3,Neutral
21,#عاجل في أعقاب الهدوء الأمني الذي ساد الحدود في الأسبوع الأخير، وعقب تقييم الوضع الأمني العام، وتصديق المستوى السياسي، تقرر توسيع مساحة الصيد في قطاع غزة من ستة إلى تسعة أميال بحرية وإدخال المواد الخام  للمعامل المدنية الضرورية،  من إسرائيل إلى قطاع غزة عبر معبر كرم شالوم.,"<USER> لن يتحقق السلام إلا بالعدل، و إعادة الأراضي التي تم سلبها ظلما من أصحابه 🇪🇬✌🇵🇸
שלום יושג רק עם צדק, והחזרת אדמות שנבזזו שלא בצדק מבעליהן",4,Neutral
22,"وين بالدستور مكتوب انو عند تشكيل الحكومة لازم رئيس مجلس النواب يقتنع؟؟
الدستور بقول: يشكّل الرئيس المكلّف الحكومة بالإتفاق مع رئيس الجمهورية
ما حدا جاب سيرة رئيس مجلس النواب
هيدي مش مخالفة دستورية؟
او بس اذا المسيحي حكي بحقّو الدستوري، بتصير مخالفة دستورية وتعدّي عصلاحيات السنّة؟","<USER> ابتسموا انتم في دولة الثنائي الشيعي و معهم روؤساء عصابات من ايام حرب أهلية...
ابتسموا بضربة الساحر نزل دولار أمريكي ٩٠٠ ليرة..",3,Negative
23,برأيكم، كيف بيحبّ سمير جعجع الجيش؟,<USER> قد ما بتحب ميشال عون أنتي,4,Neutral
24,من المؤسف حقاً ان يتحدث الرئيس بري عن عدم حق رئيس الجمهورية بالحصول على وزير واحد في الحكومة مبرراً ذلك بعدم مشاركته في التصويت,<USER> برو انت قايل هيك عن ميشال سليمان بس كان رئيس,0,Neutral
25,أخطر سلاح يواجه الأمة العربية هو جعلهم يفكرون فيعرفون فيكتشفون وهنا تكمن الخطورة … !,<USER> هاي اول مره تحكي شي صح يا كوهين الي كلك كهن صح اشد خطورة عشان قررررربت نهايتكم على ايدين العرب,1,Negative
26,صار في نقابة للمهربين أو بعد !؟,<USER> بعد عم يعملولن امتحان التخفي,0,Neutral
27,إلغاء الدعم قبل البطاقة التمويلية مغامرة خطرة وغير محسوبة . فمتى يفرج مجلس النواب عن البطاقة؟.,<USER> دولتو ما رح يفرج عنها,3,Neutral
28,مكتب الاعلام في الرئاسة: هل ما يصدر من مواقف وتدخلات تعيق عملية التأليف يخدم مصلحة اللبنانيين الغارقين في أزمة معيشية واقتصادية لا سابق لها، ويحقق حاجاتهم الانسانية والاجتماعية الملحة، والتي لا حلول جدية لها، إلا من خلال حكومة انقاذية جديدة؟,<USER> فخامة الرئيس بلا لف ودوران وقع التشكيلة المقدمة من الرئيس المكلف إذا كنت فعلا بي الكل,0,Neutral
29,١/٢ بعد استقبالي نقابة المتعهدين، أقول حرام تمادي الظلم.لا يجوز انقطاع الترابة وبيعها بالسوق السوداء ليستفيد تجار وسماسرة ويُحرَم منها البناؤون. الترابة لا تمسّ فقط قطاع البناء واعادة اعمار بيروت ومرفئها، بل تطال الصناعة والزراعة والسياحة والسكن، بالبحر وبالجبل، على ابواب الصيف.,<USER> u have stolen millions of dollars شو بعد بدك يا وج النحس!!! نأبر خلي هل شعب لي ما معو دولرين يعيش #الله_يغمألك,0,Negative
30,"من قلب جيش عاشق لمهمته ولأمته المتجذرة في تاريخ الوجود منذ  3000عام، نتمنى نهاية أسبوع مليئة بالراحة والأمان والسلام الداخلي.
#جمعة_مباركة 
#شبات_شالوم <link>",<USER> اين كان جذركم ... يا شتات ألارض .. يا حثالة الحثالة,4,Negative
31,انقاذاً للوضع معليش لا بدّ من تسوية عادلة بين الجميع طالما في لبنان لا أحد يستطيع الغاء أحد وبانتظار الانتخابات المقبلة ! صباحو 🙂,<USER> صباح الخير و التفاؤل🙌🏻😃,1,Positive
32,فوق كل تنازلاتنا، هلّق تذكّروا او اخترعوا موضوع الثقة التي لا يمكن اعطاؤها الاّ بقناعة من اعضاء التكتل وشخصيّاته المستقلّة واحزابه. وبما يعنيني انا، الثقة هي قرار ذاتي ما حدا بيفرضه عليّ .لا اكراه في الثقة!,<USER> أكبر غلطة انكن تعطو ثقة ليلي عطّل وعم يعطِّل البلد.,4,Negative
33,هذه ليست مجرد بالونات. انها هجمات إرهابية تاتي لحرق الحقول الزراعية ولترويع الآمنين في إسرائيل. فالاعتداءات الإرهابية مهما اختلفت وسائلها لن تمر دون رد. يمين الشاشة للاعتداء من غزة، وفي يسارها الرد الإسرائيلي الليلة. <link>,<USER> انتم ايها الصهاينه قمه الارهاب وسيتم حرفكم مع مزروعاتكم اذا لم تعودوا الي البلاد اللتي لفظتكم لوساختكم وسفالتكم,1,Negative
34,طائرة خاصة أقلعت من تل ابيب الى الدوحة. بيضحكوا عليكم صار لهم عشر سنين. علاقاتنا مع الدوحة ممتازة ولدينا سفارة سرية هناك. <link>,"<USER> الله لا يحييهم ولا يحييك ولا يحيي من صدقك
وين تقول #قطر تمول الارهاب من كم يوم؟
والا قطر عندها سفاره سريه في (تل الربيع) #تل_أبيب",3,Neutral
35,"خبر عاجل. خبر عاجل
نتنياهو في اخر امر له قبل سقوط حكومته يوجه امرا لدولة قطر ولاميرها يطالبه بمنع استقبال اسماعيل هنية وقطر تنفذ وطائرة هنية ترجع الى القاهرة. <link>","<USER> يبدو ان ظهور هنية في قلب الخليج وخطبته بالدوحه على الهواء،
وحب الجماهير الكبير له،
 قد اوجعكم كثيرا
بعد ان اعتقدتم ان الخليج مفتوح لفسادكم
وللعلم ستبقوا الشعب الوحيد المنبوذ
ولايحظى بأي احترام ولا مصداقيه
في المنطقه
مالم تعيدوا ارض67 على الاقل

ومن يأخذ حتى صورة معكم يلبسه العار",1,Negative
36,كلام في الصميم <link>,<USER> العتب مو عليك على نبيك يسكر و يوزع قطع أراضي الأرض الموعودة ويجي يسوع الدلوع ياكد الخبر ومحمد هم يذكر قصة اللة شلون خرة على البشرية آخر سؤال أسئلة شنو فرقكم عن داعش والميليشيات الي قتلتنا؟ هذولة بفتوى يقتلون وانتو بنص بهل كتب التافهة زربتو على العالم انعل ابوكم لابو حتى الأنبياء,3,Neutral
37,مقررات المجلس الأعلى للدفاع: الطلب الى الأجهزة العسكرية والأمنية الإبقاء على الجهوزية اللازمة لعدم السماح لبعض المخلّين بالأمن، زعزعة الوضع الأمني بسبب الأوضاع المالية والاقتصادية والمعيشية، خاصة في ما يتعلق بإقفال الطرق العامة او التعدي على الأملاك العامة والخاصة,<USER> امو تتعدوا على الناس واموالها ومعيشتها و صحتها ما بأثر بس اذا الناس نزلت تطالب بي حقوقها بصيروا مخلين بالأمن وزعران وانتو اوادم طالما انتو موجودين بالسلطة يعني ما في اوادم كلكن كلكن ما تستثني حدا و بيخلص العهد وبيجي وقت المحاسبة يا ريس جهنم,4,Negative
38,التحكيم الدولي الذي أتى لصالح الشركات المنفّذة لمعامل الكهرباء في دير عمار والذوق والجية والذي يكبّد الدولة مئات ملايين الـ$ هو الدليل الواضح على مسؤولية وزير المالية وقتها عن عدم سداد الاموال الواجبة للمعامل، مما أوقف تنفيذها وحرم الناس الكهرباء وجعل الشركات تطالب بتعويض مالي.,<USER> <USER> معك حق . ووزير المالية اليوم مع الحاكم بأمر امريكا ، يمنعون التدقيق الجنائي المالي  و الحرامي يحمي نفسه و اللصوص الذين هم مثله.,2,Positive
39,"أطفال غزة بين مخالب الإرهاب، هل هذا هو ما يسمى #جهاد_الفتوحات التي يقتل البراءة لدواع تخريبية؟
هذا هو الجيل الفلسطيني المرتقب! 
حين اتخذت داعش الاطفال وسائل لعدوانها ضد البشرية،  قامت القيامة ولم تقعد.  فلماذا هذا الصمت العربي والعالمي عن أطفال غزة؟ فلا فرق بين لغة اجرام #حماس <link>","<USER> كل خرة 
واتركك من أطفال غزة 
أنت خايف عليهم أكثر من أهاليهم!!!",1,Negative
40,"منصور عباس من فلسطيني الداخل شريك في حكومة ""الاحتلال"". <link>",<USER> سيتشتتون عند اول خلاف، اجتمع مالا يجتمع، ننتنياهو عائد لان معه قرابة نص الكنيست,4,Neutral
41,"في خضم التحديات ورغم كل الصعاب، ميزتنا أننا نبقى #جيش اللاءات الخمس:
▪️لا للاستسلام 
▪️لا للمس بسيادة الوطن
▪️لا للمس بكرامة الإنسان
▪️لا لتجاوز أخلاقيات وقيم جيش الدفاع
▪️لا للتنازل عن صفة التفوق

#جمعة_مباركة #شبات_شالوم <link>",<USER> انتم مشردون من دول أخرى والله اتحادك تعمل فحص DNA حتى تعرف من أين أتيت اكيد امك من اوكرانيا وابوك من فرنسا,2,Negative
42,محطات البنزين التابعة لنبيه بري بأميركا عم تعبي للشعب الاميركي، و بلبنان محتكر البنزين على الشعب اللبناني كرمال عيون سعد الحريري… <link>,"<USER> هيدا قسم من مطار ديترويت باسم المحامي ميك بري
يستقبل الطيران الدولي فقط 
في ديترويت ثلاث ارباع بنت جبيل وتبنين
تأكدي قبل نشر أي خبر وما تخلي الناس تضحك عليك لأن العالم قرية صغيرة والتغريدة تلف الكرة الأرضية <link>",2,Negative
43,إسرائيل اتفقت اليوم مع السلطة الفلسطينية على القيام بصفقة تبادل للقاحات كورونا. إسرائيل ستحول إلى السلطة ١-١.٤ مليون جرعة لقاح فايزر ستنتهي فعاليتها قريبا وفي المقابل ستتلقى إسرائيل شحنة اللقاحات القادمة التي خصصتها شركة فايزر للسلطة والتي تحتوي على ذات الكمية من جرعات اللقاح.,"<USER> لا ادري لماذا يغضب البعض من الخبر, اليست هذه هي التجارة؟ السلطة لا تستطيع بيع هذه اللقاحات ..والحل باستبدالها وقبض فرق الثمن..والله انهم تجار عيال تجار ..",4,Neutral
44,"من وصايا الله والقيم الانسانية:
- لا تشتم، لا تسب، لا تفتري، لا تحكم باطلًا ولا تمثل تعاليم الله بصورة خاطئة... أين البعض من هذا كله؟ <link>",<USER> هاي انت هم مثل صاحبنا عدنا واحد مثلك اسمه مقتدى هم خايس مثلك وتصريحاته كلها اتقوا الله وخافوا الله واتركوا الدنيا وانتم ثنينكم اعداء الله,3,Negative
45,خرّبوا البلد وشلّوه، وعملوا شعبويّة وقّفت كل المشاريع المنيحة والمنتجة؛ اليوم عم يشوفوا وين في شي محل منتعش ومزدهر، بدّهم يؤذوه.,<USER> خربت البلد كرمال طمعك بالكرسي...,1,Negative
46,الممثل الاعلى للسياسة الخارجية في الاتحاد الأوروبي جوزيف بوريل بعد لقائه الرئيس عون: لا نستطيع تقديم المساعدات من دون قيام لبنان بالاصلاحات ولدينا الموارد للمساعدة,<USER> لا نريد منكم شيء سوى تركنا بخير. ورفع ضغوطكم عن الشعب اللبناني,1,Neutral
47,"""إذا اعتاد الفتى خوض المنايا .. فأهون ما يمر به #الوحول""..
 قول استوقفني #للمتنبي وكم يليق بجنود #جيش_الدفاع الذين لا يهابون #المنية، يواجهون وحول التحديات ليخرجون منها: أقوى، أشرس وأعظم في تحقيق الهدف الا وهو #أمن_إسرائيل. #اليوم_العالمي_للوحل، هل غصتم مرة فيه؟ شاركوني😉 <link>",<USER> بأمارة البجامات الكستور اللي لبسناهم في ٧٣ جثثكم العفنه اللي لمتوها,2,Negative
48,"شكرا يا رب العالمين الواحد الاحد
أورشليم عاصمتنا الأبدية ونحن أصحابها منذ أيام الملك شاؤول  وإيشبوشث وداؤد وسليمان عليهم السلام 
شاء من شاء وأبى من أبى
اما ارهابيي حماس وفتح والاخوان وغيرهم من الجبناء والمرتزقة والمتاجرين فسوف يدفعون لنا الجزية وهم صاغرون عاشت اسرائيل منارة الشرق <link>",<USER> عندما يحتاج كل مستوطن لشرطي ونصف كي يصل إلى #باب_العامود!,3,Neutral
49,"الفساد في الاردن.
مسكين الشعب الاردني مثل الكويتي <link>","<USER> حاسد المسكين  على وظيفته 
منت شغال في ٣ وظايف   والقنوات  والموساد  
بيدفعولك 
غير  حصتك  من تعويضات  المانيا   لجرائم  هتلر  
اللهم لا حسد",3,Negative
50,لماذا يا دولة الرئيس بري هذا التحامل على الحلفاء السياسيين ؟ . لماذا يا دولة الرئيس تستقتل لحماية الآخرين وتنكل بالحلفاء ؟ دولة الرئيس بمحبة أقول لك حمايتك لسعد لن تساعده في التشكيل فالأسباب المانعة أكبر منا . أخرج من شخصنة المشكلة مع عون وساعد بإنهاء المأزق.,<USER> لأنه ندل و خائن,3,Neutral
51,البعض يحاول التضليل والمس باحقية اليهود من مدينة #اورشليم . شاهدوا اعتراف صريح وواضح بعلاقة اليهود بجبل الهيكل #قبلة_اليهود <link>,<USER> القدس قبلة كل الأديان يا احمق لا احد ينكر,1,Negative
52,كأن البيان الصادر عن الرئيس بري أراد ان يؤكد ما بات مؤكداً بأن الهدف الحقيقي للحملات التي يتعرض لها رئيس الجمهورية هو تعطيل دوره في تكوين السلطة التنفيذية ومراقبة عملها مع السلطة التشريعية، واقصاؤه بالفعل حيناً، وبالقول احياناً، عن تحمل المسؤوليات التي القاها الدستور على عاتقه,"<USER> اذا كل الاحزاب والتيارات تطالبك بالاستقاله 
       استقيل لاجل المصلحه الوطنيه",4,Neutral
53,"أخونجي يعتدي على فخامة الرئيس الفرانسي ماكرون يجب ان ينال جزاءه على هذا الفعل الإرهابي المدان

 <link>","<USER> 😹😹😹😹😹😹♥
اقسم بالله معلم، ربنا يدخله فسيح جناته والله لقطة اجمل من طقطق ابوعبيدة عليكم ♥🔥",0,Neutral
54,لما أتهاوش في المدرسة وثاني يوم أجيب أحد أكبر مني وياي 😂 <link>,<USER> ده سيدك وسيد ابوك يا كلب يا ابن الكلب جزمته اللي لابسها اشرف منك,0,Negative
55,"خبر عاجل. خبر عاجل
نتنياهو في اخر امر له قبل سقوط حكومته يوجه امرا لدولة قطر ولاميرها يطالبه بمنع استقبال اسماعيل هنية وقطر تنفذ وطائرة هنية ترجع الى القاهرة. <link>","<USER> يا رايح ..
 كذب اعلامك زاد الفضايح 😉😎😁😃😃😄",2,Negative
56,الكابتيال كونترول كان مفروض يصدر ثاني او ثالث يوم بعد 17 تشرين. مرّ سنة و 8 اشهر عليه. ليش؟ لأنهم استفادوا من تهريب الأموال للخارج، لا بل هرّبوها هنّي؛ ومين هو صاحب المصرف يلّي بيسترجي يقلهن لا! على قول احد اصحاب المصارف... ولليوم بعدهم عم يهرّبوا، ومن هيك ما بدّهم اقرار القانون,<USER> والله كنت حابب صدقك على قد ما حكيك حلو لو ما تذكرت انه رفيقك بوب لعن كسمه للكابيتل كونترول! 🙂,1,Negative
57,قطر 🇶🇦 كانت ولا زالت تدعم الإرهاب منذ خيمة القذافي وقبلها وبعدها …,<USER> ههههه على اساس ان الصهيونية حمامة السلام 😂😂😂😂,4,Neutral
58,أطلب من الأب #كميل_مبارك أن يصلّي الليلة، حصراً، لأجل إخراج الشياطين من داخل المدعوّة إليسا.,<USER> خلصت من الموهبه الرقص بلشت بموهبه الصوت..انا بدي ادعيلك بالجامع الله يشفيك,2,Positive
59,"#حماس_الإرهابية تقيم مخيماتها الصيفية لتدرّب أطفال #غزة على إرهابها من جيل صغير لتغذيهم إرهابًا وتسقيهم حقدًا وضغينة. صور حزينة تظهر أطفال غزة وكأن همهم الوحيد هو الانزلاق نحو منزلقات حماس الفاسدة بدلًا من خلق مستقبل واعد بإنجازات علمية وتكنولوجية وأدبية وغيرها
#مخيماتكم_إرهابية <link>",<USER> اسرائيل تجند حتى نسائها!!!,1,Neutral
60,"قمة إيران في لبنان من أجل تعزيز الإرهاب في المنطقة!
عبارة تراءت لي مع رؤيتي لهذه الصورة التي تختصر مخطط إرهابي يحاك على أنقاض شعوب المنطقة ولاسيما الشعب اللبناني.
 نصرالله وهنية وإيران ثالثهما🙂 <link>",<USER> موتو بغيظكم   محور المقاومة  قادم,4,Negative
61,"فجأة وبعد رفع الدعم صار في حليب اطفال متل الشتي و وين ما كان بتلاقي!
بكرا بيصير هيك بالبنزين!",<USER> بدي حليب Nan nestle 3 لبنت ابني ..عم نشربها حليب سائل ..والله حرام عليهن هالمحاكرين الفجرة يعملوا هيك بأطفالنا,0,Neutral
62,الشــــهيدان أدهم ياسر عليوي، وتيسير محمود عيسة من جهاز الاستخبارات،  الذين ارتقيا برصاص الاحتلال في مدينة جنين قبل قليل .. <link>,<USER> الاستخبارات هي نفسها المخابرات ؟ 😅🤔,0,Neutral
63,مكتب الاعلام في الرئاسة: أمر لن نتوقف عنده في البيان الذي صدر عن الرئيس بري هو الأسلوب غير المألوف لدى دولته في التخاطب السياسي شكلاً ومضموناً,<USER> كل عمرو زقاقي وابن رصيف,3,Neutral
64,"عندما تتم الموافقة على إعطاء وزارة المالية للطائفة الشيعية كشرط مسبق لتشكيل أي حكومة، فبذلك نفتح المجال لتضع كل طائفة شروطها المسبقة وبالتالي تسقط  فكرة تشكيل حكومة اصلاحات.
<USER> 
#نهاركم_سعيد",<USER> <USER> كله يريد ما يصب بمصلحته,0,Neutral
65,"من يحاول ايقاع الفتنة بين الذين قاوموا الاحتلالات بدمهم، سيتفاجأ بصلابة تفاهم مار مخايل بين فريقين وطنيين لا يشبهان المجبولين بالمصالح والتفاهمات الضيّقة والآنية وأصحاب ""النكايات"" السياسية... التيار والحزب تجمعهما الوطنية وإن حصل تباين بينهما على ملفات داخلية!
#ميشال_عون",<USER> ح ز ب الله اكبر متفرج على انهيار الدولة! مع احترامي لتغريدتك استاذ غسان,1,Positive
66,من هذه اللحظة ما في حكي عن احتلال او ابارتهيد او كلام ضد اسرائيل لان فلسطينو الداخل مشاركين في الحكومة . مبروك <link>,"<USER> الاخونجية حاضرين و بقوة من اسرائيل الي قطر 
<link>",1,Neutral
67,"الآن: إسرائيل تنقل للفلسطينيين عبر وحدة تنسيق أعمال الحكومة في المناطق لقاحات مضادة لفيروس كورونا من صنع شركة "" فايزر "" في إطار الجهود الرامية لإبادة هذا الفيروس كليًا عن منطقتنا والتي تعتبر مصلحة مشتركة صحية واقتصادية للطرفين. #إسرائيلي_وأفتخر <link>",<USER> اسرائيل ارهابية.     الكل يشارك <link>,4,Neutral
68,"أعطِ عنوانًا ملائمًا لهذه الصورة؟ 
في زحمة المهمات الملقاة على عاتق جنودنا يبقى الصديق الوفي خير جليس..أتوافقوني الرأي؟ <link>","<USER> حفظ الله ابطال جيش الدفاع الإسرائيلي  حليفنا وصديقنا
🇮🇱❤️🇺🇲❤️🇾🇪",3,Neutral
69,"يكشف المصدر أن الرئيس بشار الأسد يعوّل جدًا على شخصية رئيس التيار الوطني الحر جبران باسيل، كشريك مستقبلي في المنطقة، لا يشبه أقرانه من رؤساء الأحزاب والكتل في لبنان، وأنّ رؤيويته عزّزت من حضوره الإقليمي رغم الحرب الشعواء التي يتعرض لها من الداخل والخارج.
<link>",<USER> هلق كل ما صحافي كتب مقال  وحط انه المصدر يكشف .يعني صار المقال  حقيقة .او تعباية حبر على ورق . يعني المصدر تبعك فات على العقل الباطني واستنبط انه بشار الاسد قرر انه يعمل باسيل شريكه . اول شي خلينا نشوف التطبيع مع اسرائيل مع بشار  اي متى وبعدين منحكي  شو بدو بشار . شريك مستقبلي 😂,0,Neutral
70,"#نحن_من_جيل لما كنت البس كعب عالي وقلّد عارضات الأزياء كيف بيمشوا آخر شي يجي البابا يدقني قتلة لقوم ادرس💔 
صورة عمرها ٢٦ سنة🥺 <link>",<USER> اكانهم ٢٦يوم مش سنة يحفظك ربي ريتا,3,Positive
71,هذه ليست مجرد بالونات. انها هجمات إرهابية تاتي لحرق الحقول الزراعية ولترويع الآمنين في إسرائيل. فالاعتداءات الإرهابية مهما اختلفت وسائلها لن تمر دون رد. يمين الشاشة للاعتداء من غزة، وفي يسارها الرد الإسرائيلي الليلة. <link>,"<USER> لعنة الله عليك ومن ولاك
ما فيه بالونة تنزل عليك وتحرقك😁😂
أكون شاكرة لحماس",4,Negative
